date,ssm,lst_mean,lst_min,lst_max
2023-02-12,,6.158,2.51,12.97
2023-02-13,,8.807,5.27,14.88
2023-02-14,,4.14,4.14,4.14
2023-02-15,32.0,,,
2023-02-16,35.5,10.707,4.76,19.05
2023-02-17,,5.53,4.74,6.32
2023-02-18,,9.41,8.27,11.27
2023-02-19,,11.832,4.07,22.01
2023-02-20,127.5,7.676,4.49,12.1
2023-02-21,39.5,10.167,5.58,19.89
2023-02-22,,12.57,5.34,25.72
2023-02-23,,11.467,4.72,19.35
2023-02-24,,3.705,3.6,3.81
2023-02-25,,7.671,2.32,23.89
2023-02-26,,11.766,2.28,24.49
2023-02-27,17.0,9.353,0.5,19.23
2023-02-28,6.5,10.605,1.98,25.31
2023-03-01,,9.982,0.85,24.29
2023-03-02,,8.732,1.72,20.44
2023-03-03,,10.567,1.1,24.85
2023-03-04,127.5,10.962,1.82,25.7
2023-03-05,18.0,8.126,2.17,17.73
2023-03-06,,11.664,5.7,23.39
2023-03-07,,17.866,9.39,28.85
2023-03-08,,17.658,6.6,31.1
2023-03-09,,12.052,10.01,13.56
2023-03-10,,17.789,10.69,32.15
2023-03-11,32.5,20.797,9.62,34.37
2023-03-12,34.0,20.979,8.5,36.85
2023-03-13,,16.293,8.67,27.47
2023-03-14,,17.403,12.64,26.23
2023-03-15,,18.005,9.3,31.43
2023-03-16,127.5,18.622,10.88,30.64
2023-03-17,31.0,14.536,8.39,27.39
2023-03-18,,11.45,6.75,28.89
2023-03-19,,16.917,9.63,28.67
2023-03-20,,16.223,7.67,27.41
2023-03-21,,13.551,7.1,25.75
2023-03-22,,16.921,7.51,30.79
2023-03-23,25.5,16.95,5.67,32.27
2023-03-24,21.0,11.905,7.19,18.68
2023-03-25,,19.41,8.8,34.11
2023-03-26,,21.803,10.85,34.59
2023-03-27,,17.431,8.96,30.07
2023-03-28,127.5,16.38,7.24,28.97
2023-03-29,31.5,18.005,9.22,30.16
2023-03-30,,20.575,7.36,32.04
2023-03-31,,23.266,13.42,33.32
2023-04-01,,21.665,14.62,32.94
2023-04-02,,19.145,10.53,32.92
2023-04-03,,16.647,8.65,30.09
2023-04-04,26.0,15.641,3.36,28.55
2023-04-05,29.5,15.447,8.98,27.89
2023-04-06,,14.161,8.25,28.66
2023-04-07,,17.444,8.44,30.58
2023-04-08,,18.268,6.52,33.38
2023-04-09,127.5,18.363,11.3,31.52
2023-04-10,22.0,16.693,8.86,28.87
2023-04-11,,21.218,13.34,30.01
2023-04-12,,22.424,11.86,33.51
2023-04-13,,20.827,11.71,26.14
2023-04-14,,16.748,8.85,28.07
2023-04-15,,22.348,14.11,37.71
2023-04-16,29.5,19.372,11.04,30.44
2023-04-17,29.0,18.354,8.28,31.59
2023-04-18,,17.746,9.85,27.86
2023-04-19,,16.601,11.68,28.57
2023-04-20,,23.364,12.24,33.62
2023-04-21,127.5,21.291,9.66,33.47
2023-04-22,29.0,21.78,10.66,34.2
2023-04-23,,22.177,10.09,37.81
2023-04-24,,21.685,11.18,34.97
2023-04-25,,20.259,10.25,37.9
2023-04-26,,20.951,14.1,32.51
2023-04-27,,24.47,16.33,33.35
2023-04-28,29.0,18.32,14.15,22.49
2023-04-29,36.0,18.566,15.15,20.92
2023-04-30,,19.518,14.85,30.73
2023-05-01,,24.799,15.71,34.5
2023-05-02,,21.384,12.11,34.32
2023-05-03,127.5,17.989,11.13,26.88
2023-05-04,26.5,16.79,11.2,29.45
2023-05-05,,22.406,12.08,33.5
2023-05-06,,22.312,15.55,29.16
2023-05-07,,23.364,11.05,35.88
2023-05-08,,20.463,13.48,33.68
2023-05-09,,21.912,13.78,33.88
2023-05-10,24.5,25.669,16.45,34.85
2023-05-11,28.5,21.363,7.7,34.63
2023-05-12,,18.6,8.93,33.73
2023-05-13,,21.164,13.24,31.11
2023-05-14,,17.697,8.82,30.81
2023-05-15,127.5,21.926,12.07,36.6
2023-05-16,13.0,22.656,12.74,38.3
2023-05-17,,22.71,22.71,22.71
2023-05-18,,21.578,13.88,32.08
2023-05-19,,18.936,11.79,32.24
2023-05-20,,23.018,13.27,30.53
2023-05-21,,15.87,7.15,26.69
2023-05-22,36.0,8.27,8.27,8.27
2023-05-23,121.0,14.097,10.71,17.04
2023-05-24,,15.979,12.63,21.77
2023-05-25,,18.953,9.75,29.56
2023-05-26,,19.628,14.49,27.79
2023-05-27,127.5,14.937,12.25,20.17
2023-05-28,93.5,18.866,12.99,30.52
2023-05-29,,23.368,10.76,34.47
2023-05-30,,24.723,18.34,28.42
2023-05-31,,23.691,15.17,35.35
2023-06-01,,22.406,15.46,35.14
2023-06-02,,16.053,13.3,17.44
2023-06-03,,19.449,16.95,24.62
2023-06-04,89.0,21.922,16.46,34.41
2023-06-05,,24.465,15.84,38.38
2023-06-06,,30.66,26.13,34.31
2023-06-07,,17.31,17.31,17.31
2023-06-08,127.5,20.855,17.64,22.77
2023-06-09,97.5,27.303,18.04,37.08
2023-06-10,,28.242,17.66,40.07
2023-06-11,,29.432,19.18,38.88
2023-06-12,,21.927,19.72,25.67
2023-06-13,,32.509,19.41,40.59
2023-06-14,,25.711,17.4,37.52
2023-06-15,45.5,26.777,16.16,39.58
2023-06-16,44.0,26.606,18.69,37.94
2023-06-17,,29.278,17.63,41.91
2023-06-18,,28.096,20.12,36.13
2023-06-19,,26.788,17.69,36.62
2023-06-20,127.5,27.155,18.43,37.54
2023-06-21,57.0,28.683,19.17,38.52
2023-06-22,,29.3,19.91,42.18
2023-06-23,,28.254,19.56,39.89
2023-06-24,,28.969,19.27,41.34
2023-06-25,,29.425,17.89,43.38
2023-06-26,,30.944,20.5,43.58
2023-06-27,37.5,30.015,20.53,42.32
2023-06-28,33.0,28.435,19.33,40.06
2023-06-29,,28.763,20.55,39.31
2023-06-30,,25.637,15.47,37.7
2023-07-01,,29.196,19.73,41.16
2023-07-02,127.5,30.044,19.13,43.1
2023-07-03,40.0,29.94,20.78,42.53
2023-07-04,,31.162,21.57,44.5
2023-07-05,,27.596,20.21,41.55
2023-07-06,,28.026,21.31,40.58
